cadet_name,squadron,sprint_time_sec,loop_accuracy_pct,prize_bits_won,cheer_decibels,injury_days,wing_flap_rate_pre,wing_flap_rate_post,accuracy_score_pre,accuracy_score_post,confidence_rating_pre,confidence_rating_post,recovery_time_min_pre,recovery_time_min_post,tip_bits_pre,tip_bits_post
Rainbow Dash,Thunder Squadron,39.6,86.4,5,91.8,0,49.2,49.8,79.7,94.4,7,8,21.6,19.8,4,23
Soarin,Thunder Squadron,40,83.2,86,87.1,2,76.1,75.6,75.5,85.9,8,9,3.1,1,18,45
Spitfire,Thunder Squadron,38.7,81.8,12,89.6,1,55.9,59.6,73.1,71.4,8,10,17.2,14.5,3,8
Cloudchaser,Thunder Squadron,40,73.7,20,89.6,3,45.1,47.6,56.5,61.9,5,5,6.9,2.7,17,53
Fleetfoot,Thunder Squadron,39.4,85.3,16,89.3,3,44.6,39.4,61.8,63.5,7,8,33.5,30.7,13,30
Lightning Dust,Thunder Squadron,45.8,86.4,22,92.4,2,48.3,58,66.4,73,5,7,6.1,1.6,4,10
Windy Whistles,Thunder Squadron,49,78.7,15,90.4,1,56.9,60,53.3,67.7,7,8,8.8,7.3,9,30
Stormy Skies,Thunder Squadron,42.8,83.8,33,92.4,2,42.2,56.7,75.4,86,5,7,4.9,1.7,13,51
Gusty Gale,Thunder Squadron,44.4,82.8,60,93.6,1,43.9,53.5,71.7,81,4,4,1.1,1,2,5
Zephyr Breeze,Thunder Squadron,37.4,88,27,93,0,56.7,58.4,75.3,83.3,6,7,10,7.8,1,9
Skydancer,Thunder Squadron,41,79.7,26,91.6,1,43,40.7,71.9,78.6,8,9,15.2,4.6,11,42
Aero Ace,Thunder Squadron,43.8,90.2,36,96.2,1,48.9,54.6,54.2,61.7,6,7,36.3,34.5,12,68
Nimbus Sprint,Thunder Squadron,41.7,77.2,47,87.8,0,54.1,52.8,86.6,87.3,8,8,12.3,10.6,12,48
Breeze Wing,Thunder Squadron,44.6,69.6,44,92.1,3,58.9,62.7,63.1,60.9,8,9,4.5,4.4,6,22
Flash Fly,Thunder Squadron,44.5,78,38,85.2,1,65.4,73.9,79.2,82.7,7,8,17.5,1,4,12
Twister Tail,Thunder Squadron,36.4,75.8,92,91,0,61.2,62.5,69.5,79.8,6,7,27.1,24.9,40,40
Sirensong,Lightning Squadron,45.6,78.3,25,84.6,0,43.4,48.3,92.8,107.5,5,5,12.9,7.5,14,15
Aero Wave,Lightning Squadron,45.2,83.3,3,82.5,2,40.6,45.5,59.9,73.4,6,6,17.4,16.5,6,19
Sky Dancer,Lightning Squadron,42.9,72.5,50,88.6,1,68.3,73.8,69,81.3,6,6,8.2,3.8,9,16
Gale Gust,Lightning Squadron,40.3,83,16,77.8,5,53.9,60.5,65.6,69.7,4,3,15,12.9,8,20
Storm Strider,Lightning Squadron,48.9,85.3,19,88.4,1,52.1,48.4,57.4,62,7,10,6.7,2.9,4,24
Cyclone Swift,Lightning Squadron,42.9,76,23,83.3,1,57.3,69.6,71.7,72.6,4,4,6.7,5.9,20,25
Wind Whirl,Lightning Squadron,40.3,82.2,85,78.9,1,38.1,39.5,64,72.4,6,5,10.1,1,14,51
Jet Stream,Lightning Squadron,44.9,87.3,75,89.6,1,48.9,51.7,64.3,71.8,7,9,21.5,19.2,8,16
Flurry Flap,Lightning Squadron,43.2,64.5,50,91.5,3,55.7,64.4,73.3,73.9,5,7,42.1,39.9,34,41
Vapor Trail,Lightning Squadron,47.2,67.7,2,86.8,2,55.1,53.4,63,73.2,4,7,9.7,7.7,5,15
Comet Chaser,Lightning Squadron,45.5,79.8,14,85.1,3,45.7,44.6,68.3,69.4,6,7,27,24.4,4,20
Thunderhead,Lightning Squadron,47,74.6,14,79.6,2,63.7,68.8,74.7,83.9,4,4,3,1,2,23
Squall Line,Lightning Squadron,41.4,77.5,12,85.2,2,47.5,56.1,73.2,71,5,11,25.2,23.3,60,87
Downburst,Lightning Squadron,47.2,85.7,1,86.7,0,48.6,52.4,61.4,72.4,7,8,17.2,16.9,14,41
